alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Brochet, rôti/cuit au four;425;100;23,1;traces;0,88;0;-;0
Carpe, rôtie/cuite au four;633;151;21,6;traces;7,17;0;0;0
Perche, rôtie/cuite au four;503;119;22,1;traces;3,42;0;0;0
Truite, rôtie/cuite au four;766;183;26,6;traces;8,47;0;0;0
Truite, cuite à la vapeur;419;99,4;19;traces;2,6;0;0;0
Truite arc en ciel, élevage, rôtie/cuite au four;600;143;21,5;traces;6,33;0;0;0
Truite arc en ciel, élevage, cuite à la vapeur;493;117;20;traces;4,14;0;0;0
Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit;335;79;17,5;traces;1;0;-;0
Truite d'élevage, fumée;753;180;23,4;0,69;9,27;0;-;0
Bar commun ou loup, rôti/cuit au four;617;147;22,2;traces;6,51;0;-;0
Dorade (Daurade) royale, cuite au four;620;148;23,6;traces;5,9;0;-;0
Bar rayé ou bar d'Amérique, cru;477;113;20,3;traces;3,58;0;-;0
Lieu ou colin d'Alaska, cru;300;70,8;16,3;traces;0,61;0;< 0,3;0
Flétan de l'Atlantique ou flétan blanc, cru;409;96,5;21,2;traces;1,31;0;-;0
Hareng, cru;734;176;17,7;traces;11,7;0;0;0
Lotte ou baudroie, crue;285;67,2;15,1;traces;0,74;0;< 0,15;0
Saumon, cru, élevage;807;194;20,5;traces;12,4;0;< 0,088;0
Turbot sauvage, cru;386;91,5;17,2;traces;2,54;0;0;0
Cabillaud, cru;329;77,6;18,1;traces;0,57;0;< 0,1;0
Merlu, cru;349;82,6;17,6;traces;1,35;0;< 0,15;0
Lieu noir, surgelé, cru;350;82,4;19,8;traces;0,37;0;-;0
Merlu, filet, surgelé, cru;346;82;15,1;traces;2,4;0;-;0
Maquereau, cru;808;194;18,1;traces;13,5;0;0;0
Raie, crue;382;89,9;21,4;traces;0,47;0;0;0
Thon, cru;607;144;24;traces;5,38;0;0;0
Carrelet ou plie, cru;375;88,6;20;traces;0,94;0;0;0
Limande, crue;342;80,8;18,3;traces;0,85;0;< 0,2;0
Sole, crue;328;77,3;18;traces;0,6;0;0;0
Rascasse, crue;371;87,6;18,9;traces;1,33;0;0;0
Thon albacore ou thon jaune, cru;459;108;25;traces;0,94;0;0;0
Sardine, crue;683;163;19,5;traces;9,48;0;0;0
Thon listao ou Bonite à ventre rayé, cru;411;97,1;22;traces;1,01;0;-;0
Thon rouge, cru;649;155;23,3;traces;6,81;0;-;0
Bar commun ou loup, cru, sans précision;350;82,5;19,1;traces;0,7;0;< 0,2;0
Roussette ou petite roussette ou saumonette, crue;415;97,8;23,3;traces;0,5;0;0;0
Bar ou loup de l'Atlantique, cru;379;89,9;16,6;traces;2,61;0;-;0
Thon germon ou thon blanc, cru;514;121;27,2;traces;1,37;0;-;0
Anchois commun, cru;541;129;18,6;traces;6,07;0;-;0
Dorade royale, ou daurade ou vraie daurade, crue, sauvage;393;93,2;18,1;traces;2,31;0;-;0
Espadon, cru;543;130;18,9;traces;5,97;0;0;0
Éperlan, cru;361;85,4;17,5;traces;1,7;0;0;0
Cardine franche, crue;395;93,4;19,9;traces;1,53;0;-;0
Rouget-barbet de roche, cru;660;158;18,4;traces;9,37;0;0;0
Dorade royale ou daurade ou vraie daurade, crue, élevage;543;129;20,9;traces;5,1;0;-;0
Mulet, cru;475;113;20,1;traces;3,62;0;0;0
Truite de mer, crue;467;111;19,6;traces;3,63;0;0;0
Merlan, cru;336;79,3;18,8;traces;0,47;0;< 0,2;0
Morue, salée, sèche;871;206;47,6;traces;1,67;0;-;0
Dorade grise, ou daurade grise, ou griset, crue;547;130;20,5;traces;5,27;0;< 0,3;0
Bogue, crue;380;90;17,9;traces;2,03;0;0;0
Bonite, crue;675;161;22,3;traces;8,01;0;-;0
Maquereau espagnol ou maquereau blanc ou billard, cru;567;135;22,1;traces;5,15;0;-;0
Denté, cru;418;99,3;17;traces;3,5;0;-;0
Saint-Pierre, cru;368;86,7;19,9;traces;0,8;0;0;0
Grondin, cru;397;94;19;traces;2;0;-;0
Corb, cru;370;87,2;20;traces;0,8;0;-;0
Capelan, cru;380;90;18,7;traces;1,71;0;-;0
Dorade rose, ou daurade rose, crue;431;102;21;traces;2;0;-;0
Rouget-barbet de roche, vapeur;602;143;24,1;traces;5,2;0;-;0
Saupe, crue;399;94,5;18;traces;2,5;0;-;0
Chinchard, cru;487;116;19;traces;4,42;0;-;0
Églefin, cru;307;72,3;17,3;traces;0,35;0;0;0
Congre, cru;481;115;18,3;traces;4,6;0;0;0
Grenadier (de roche), cru;292;68,9;15,4;traces;0,81;0;-;0
Lieu jaune ou colin, cru;320;75,5;17,7;traces;0,51;0;0;0
Julienne ou Lingue, crue;343;80,8;19,2;traces;0,44;0;0;0
Tacaud, cru;346;81,6;19,7;traces;0,33;0;-;0
Lieu noir, cru;350;82,5;18,8;traces;0,8;0;< 0,2;0
Limande-sole, crue;341;80,6;17;traces;1,4;0;0;0
Foie de morue, cru;2550;619;5;traces;66,6;0;-;0
Vivaneau, cru;398;94,1;20,5;traces;1,34;0;-;0
Sabre, cru;524;125;18;traces;5,9;0;-;0
Flétan du Groënland ou flétan noir ou flétan commun, cru;700;168;13,5;traces;12,7;0;-;0
Carangue, cru;438;104;19,9;traces;2,7;0;-;0
Coulirou, cru;301;70,9;17,5;traces;0,1;0;-;0
Saumon, cru, sauvage;695;166;21;traces;9,17;0;-;0
Requin, cru;461;109;20,8;traces;2,91;0;-;0
Orphie commune, crue;558;133;20;traces;5,91;0;-;0
Lompe, crue;695;168;10;traces;14,2;0;-;0
Brème, cru;435;104;16,9;traces;4;0;-;0
Omble chevalier, cru;436;103;19,8;traces;2,7;0;-;0
Loup tacheté, cru;454;108;16,3;traces;4,8;0;-;0
Sprat, cru;777;186;19,8;traces;11,9;0;-;0
Turbot, cru;361;85,5;17,9;traces;1,55;0;-;0
Corégone lavaret, cru;486;115;20,5;traces;3,72;0;-;0
Mérou, cru;349;82,3;18,6;traces;0,86;0;-;0
Lingue bleue ou Lingue, crue;338;79,6;18,9;traces;0,44;0;-;0
Sole tropicale ou Sole langue, crue;289;68,2;15,7;traces;0,58;0;-;0
Turbot d'élevage, cru;457;109;18,3;traces;3,94;0;-;0
Bar commun ou loup (Méditerranée), cru, sauvage;414;97,9;20,1;traces;1,94;0;-;0
Bar commun ou loup (Méditerranée), cru, élevage;521;124;21,4;traces;4,25;0;-;0
Baudroie rousse ou Lotte, crue;298;70,2;16,7;traces;0,37;0;-;0
Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;378;89,5;18,8;traces;1,6;0;0;0
Hoki, tout lieu de pêche, cru;389;92,3;17,8;traces;2,36;0;-;0
Grenadier bleu ou hoki de Nouvelle-Zélande, cru;319;75,5;15,6;traces;1,46;0;-;0
Grondin perlon, cru;412;97,4;20,3;traces;1,79;0;-;0
Merlu blanc du Cap, surgelé, cru;330;78;16,1;traces;1,52;0;< 0,3;0
Chinchard maigre, cru;408;96,7;18,7;traces;2,42;0;-;0
Chinchard gras, cru;616;147;19,6;traces;7,66;0;-;0
Hareng maigre, cru;466;111;18,3;traces;4,22;0;-;0
Hareng gras, cru;719;172;18,7;traces;10,8;0;0;0
Joëls (petits poissons entiers) pour friture, crus;375;88,9;17,5;traces;2,1;0;-;0
Empereur, filet, sans peau, cru;311;73,5;15;traces;1,5;0;-;0
Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);407;96,7;16,3;traces;3,5;0;-;0
Carpe, crue, élevage;477;114;17,7;traces;4,76;0;0;0
Truite d'élevage, crue;558;133;19,3;traces;6,22;0;-;0
Truite arc en ciel, crue, élevage;553;132;19;traces;6,24;0;0;0
Perche, crue;348;82,2;17,9;traces;1,19;0;-;0
Brochet, cru;355;83,7;18,8;traces;0,94;0;-;0
Esturgeon, cru;517;123;17,7;traces;5,84;0;-;0
Anguille, crue;963;232;16,1;traces;18,6;0;0;0
Pangasius ou Poisson-chat, cru;276;65,2;13,5;traces;1,27;0;0;0
Tilapia, cru;387;91,6;18,1;traces;2,13;0;-;0
Truite saumonée, crue;600;143;19,2;traces;7,4;0;-;0
Lotte de rivière, crue;326;77;17,8;traces;0,66;0;-;0
Sandre, cru;351;82,9;18,3;traces;1,08;0;-;0
Perche du Nil, crue;349;82,4;19,1;traces;0,68;0;-;0
Bigorneau, cuit;-;-;16,3;-;3,5;-;0;0
Coquille Saint-Jacques, noix et corail, cuite;463;110;20,2;3,22;1,77;0,3;0,3;0
Crevette grise, cuite;381;89,9;18,3;1,47;1,2;-;0;0
Crevette, cuite;397;93,8;19;1,87;1,16;< 0,25;< 0,08;0
Homard, bouilli/cuit à l'eau;385;90,9;19,6;0,11;1,32;0;0;0
Moule, bouillie/cuite à l'eau;457;108;17,2;5,12;2,09;-;< 0,15;0
Bulot ou Buccin, cuit;415;97,7;20,7;2,69;0,47;traces;0;0
Langouste, bouillie/cuite à l'eau;449;106;21,8;1,3;1,52;0;0;0
Crabe ou Tourteau, bouilli/cuit à l'eau;520;124;19,5;1,79;4,29;0;0;0
Clam, Praire ou Palourde, bouilli/cuit à l'eau;420;99,2;16,2;5,33;1,48;0;-;0
Écrevisse, cuite;312;73,5;16,3;0,56;0,7;< 0,25;< 0,2;0
Crevette rose bouquet, cuite;-;-;22,8;-;1,27;-;-;0
Calmar ou calamar ou encornet, bouilli/cuit à l'eau;632;149;32,5;1,64;1,4;-;-;0
Fruits de mer (aliment moyen);438;104;18,9;3,06;1,76;0,12;0,078;0
Langoustine, bouillie/cuite à l'eau;-;-;20,9;-;0,98;-;-;0
Araignée de mer, cuite;-;-;18,3;-;3,8;-;-;0
Crevette pattes blanches, cuite;-;-;22,6;-;0,96;-;-;0
Crevette géante tigrée, cuite;-;-;23,4;-;0,98;-;-;0
Crevette royale rose, cuite;-;-;26,6;-;1,18;-;-;0
Poulpe, cuit;659;156;29,8;4,4;2,08;0;-;0
Fruits de mer, cuits, surgelés;336;79,5;13,5;2,83;1,57;0;< 0,3;0
Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;725;173;17,9;8,45;7,48;-;-;0
Escargot, sans matière grasse ajoutée, cuit;338;80;16,6;0,23;1,4;< 0,3;< 0,2;0
Grenouille, cuisse, grillée/poêlée;-;-;21,9;-;0,9;-;-;0
Calmar ou calamar ou encornet, cru;326;77;14,4;2,17;1,19;0;0;0
Coquille Saint-Jacques, noix et corail, crue;351;83;17;0,78;1,31;0,5;0,23;0
Escargot, cru;330;77,9;16,1;1,29;0,92;0;< 0,2;0
Homard, cru;362;85,5;17,9;0,94;1,15;0;0;0
Huître, sans précision, crue;283;67,2;8,64;3,86;1,91;traces;0;0
Moule commune, crue;303;71,8;11,2;2,69;1,82;0;0;0
Langouste, crue;368;86,9;17,7;1,07;1,34;0;-;0
Seiche, crue;323;76,3;16,2;0,51;1,05;0;0;0
Clam, Praire ou Palourde, cru;339;80,5;11,5;2,66;2,65;0,16;0,16;0
Poulpe, cru;255;60,1;12,9;0,97;0,5;0;< 0,2;0
Bulot ou Buccin, cru;555;131;23,8;7,61;0,57;0;-;0
Crevette, crue;420;99;19,7;3,21;0,84;0;-;0
Langoustine, crue;381;89,8;19,1;1,53;0,79;0;-;0
Moule de Méditerranée, crue;290;68,7;10,7;2,77;1,67;-;-;0
Écrevisse, crue;290;68,3;14,8;0,81;0,64;0;0;0
Huître creuse, crue;283;67,2;8,64;3,86;1,91;0;0;0
Huître plate, crue;226;53,5;10,2;1,16;0,9;0;-;0
Crevette, surgelée, crue;446;105;23,4;0,74;0,9;-;0,41;0
Crabe, cru;438;104;19,5;0,027;2,86;0;-;0
Ormeau, cru;422;99,6;14,4;8,69;0,83;0;-;0
Coquille Saint-Jacques, noix, crue;354;83,6;17,9;1,15;0,84;0;< 0,3;0
Pecten d'Amérique ou Peigne du canada, noix, crue;345;81,3;17,3;1,78;0,54;-;-;0
Pétoncle ou Peigne du Pérou, noix, crue;376;88,7;17,5;3,1;0,7;0;-;0
Crevette rose, crue;392;92,3;21,9;0;0,53;-;-;0
Grenouille, cuisse, crue;297;70;16,2;0,66;0,28;0;< 0,3;0
Rillettes de crabe, préemballées;798;192;12,2;3,5;13,6;1,6;0,9;0
Rillettes de poisson, préemballées;1010;243;13,9;0,3;20,7;0,3;< 0,2;0
Rillettes de saumon, préemballées;985;237;15,1;2;18,4;0,9;0,35;0
Rillettes de thon, préemballées;826;199;16,4;1,65;13,8;1,2;0,45;0
Rillettes de maquereau, préemballées;1020;246;11;1;22;0;-;0
Terrine de poisson, préemballée;714;171;11;5,5;11,4;0,2;0,067;0
Terrine de fruits de mer, avec ou sans poisson, préemballée;782;188;8,4;6,5;14;1,2;< 0,1;0
Tarama, préemballé;2200;534;6,75;3,19;54,8;0,75;0,29;0
Calmar ou Calamar ou encornet, à la romaine (beignet);1050;252;8,69;21,2;14,4;2,58;< 0,3;0
Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;468;111;14,8;8,72;1,8;0,6;< 0,3;0
Langoustine, panée, frite;1180;282;10,9;29;13,6;traces;0;0
Beignet de crevette;930;222;6,5;26;10;11;2,35;0
Moule, appertisée, égouttée;431;102;14,6;5,93;2,2;0,5;< 0,3;0
Escargot en sauce au beurre persillé, préemballé, cuit;1150;277;12,9;2,26;23,7;1,02;< 0,3;0
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;605;145;12,5;5;7,9;3,7;1,5;0
Accra de poisson;1140;275;12,4;15,1;17,6;2,55;< 0,2;0
Carpaccio de saumon avec marinade;810;194;19,8;0,22;12,7;0;-;0
Maquereau, filet grillé, appertisé, nature, égoutté;1020;246;19,7;0,55;18,3;-;-;0
Anchois, filets roulés aux câpres, semi-conserve, égoutté;830;198;24,8;1,48;10,3;-;-;0
Anchois, filets à l'huile, semi-conserve, égoutté;765;182;26,4;< 0,2;8,45;0;< 0,3;0
Carrelet ou plie, pané, frit;1010;242;13,4;8,86;16,8;-;0;0
Oeufs de lompe, semi-conserve;462;111;10,4;1;7,27;0;< 0,15;0
Caviar, semi-conserve;1060;254;25;traces;17,1;traces;-;0
Hareng mariné ou rollmops;880;211;13,7;8;13,8;1,9;< 0,2;0
Limande-sole, panée, frite;863;206;16,7;11,9;10,2;1;-;0
Pilchard, sauce tomate, appertisé, égoutté;696;167;13;3,99;11;1;0,4;0
Poisson, croquette ou beignet ou nuggets, frit;1060;255;13,2;18,4;13,7;1,6;0;0
Poisson pané, surgelé, cru;679;162;11;16,1;5,73;2,2;< 0,3;0
Poisson pané, frit;809;193;11,9;13,4;10;1,1;0;0
Sardine, à l'huile, appertisée, égouttée;867;207;24,4;0,49;12;0;< 0,15;0
Sardine, sauce tomate, appertisée, égouttée;804;193;20,2;1,38;11,6;0,7;0,23;0
Thon, au naturel, appertisé, égoutté;471;111;26,8;0;0,4;0;0;0
Sardine, à l'huile d'olive, appertisée, égouttée;845;202;24,3;1,06;11,2;0;0;0
Surimi, bâtonnets, tranche ou râpé saveur crabe;525;125;8,31;11,8;4,92;2,1;0,39;0
Oeufs de cabillaud, fumés, semi-conserve;614;146;26,9;0,1;4,2;-;-;0
Thon germon ou thon blanc, cuit à la vapeur sous pression;697;165;30;0;5,06;-;0;0
Maquereau, filet sauce tomate, appertisé, égoutté;946;227;17,7;1,94;16,3;0,94;0,35;0
Maquereau, filet sauce moutarde, appertisé, égoutté;902;217;20,8;1,09;14,2;0,8;0,15;0
Maquereau, filet au vin blanc, appertisé, égoutté;862;207;17,8;2,25;14,1;0,5;< 0,3;0
Saumon, appertisé, égoutté;751;180;20,5;1,5;10,2;-;0;0
Maquereau, au naturel, appertisé, égoutté;787;189;21,6;0;11,4;0;0;0
Merlan, pané;797;190;12,6;13;9,57;1,7;0;0
Foie de morue, appertisé, égoutté;1790;433;7,25;1,1;44,4;-;0;0
Oeufs de truite, semi-conserve;-;-;26,3;-;9,5;< 0,2;< 0,2;0
Anchois au sel (anchoité, semi-conserve);540;128;25;0;3,1;0;-;0
Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté;807;192;31,3;1,01;6,95;0;0;0
Thon à l'huile de tournesol, entier, appertisé, égoutté;861;206;23,3;0,76;12,2;-;-;0
Thon albacore ou thon jaune, au naturel, appertisé, égoutté;542;128;26,6;0,58;1,98;< 0,094;< 0,23;0
Maquereau, mariné;768;185;16,3;traces;13,3;-;-;0
Anchois commun, mariné, préemballé;573;136;23,9;2,7;3,26;0;-;0
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;889;213;21,5;0,62;13,9;0;< 0,2;0
Surimi, fourré au fromage;619;149;6,6;9,24;9,3;2,8;< 0,2;0
Thon à la tomate, miettes, appertisées, égouttées;545;130;14,6;4,33;5,93;3,33;1;0
Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;594;142;10,8;5,05;8,6;2,93;1,1;0
Thon à l'huile de tournesol, miettes, appertisées, égouttées;946;227;23,4;0;14,8;< 0,25;< 0,2;0
Oeufs de saumon, semi-conserve;938;224;30,8;1,5;10,5;< 0,2;< 0,2;0
Oeuf, blanc (blanc d'oeuf), cuit;201;47,3;10,3;1,12;0,17;0,7;0,34;0
Oeuf, jaune (jaune d'oeuf), cuit;1410;340;16;1,31;30,1;0,55;0,18;0
Oeuf, dur;557;134;13,5;0,52;8,62;0,52;0,14;0
Oeuf, poché;575;138;12,5;0,71;9,47;0,37;0,37;0
Oeuf, à la coque;590;142;12,2;1,08;9,82;0,77;0,21;0
Oeuf, au plat, frit, salé;847;204;14,3;0,74;16;0,4;0,4;0
Oeuf, brouillé, avec matière grasse;604;145;9,99;1,62;11;1,43;0,28;0
Oeuf, au plat, sans matière grasse;611;147;13,8;1,01;9,72;-;-;0
Oeuf, cru;584;140;12,7;0,27;9,83;0,27;0,27;0
Oeuf, blanc (blanc d'oeuf), cru;204;48,1;10,8;0,85;0,19;0,71;0,34;0
Oeuf, jaune (jaune d'oeuf), cru;1270;307;15,5;1,09;26,7;0,56;0,18;0
Oeuf de caille, cru;639;154;13,1;0,41;11,1;0,4;-;0
Oeuf de cane, cru;753;181;13;1,31;13,8;0,93;-;0
Oeuf d'oie, cru;750;180;13,8;1,4;13,3;0,94;-;0
Oeuf de dinde, cru;691;166;13,7;1,13;11,9;1;-;0
Oeuf, jaune (jaune d'oeuf), en poudre;2730;660;34,1;2,77;57;0,07;0,07;0
Oeuf, blanc (blanc d'oeuf), en poudre;1510;356;81,2;7,73;0;5,4;-;0
Oeuf, en poudre;2420;582;47,9;3,11;42;0,3;0,27;0
Omelette au fromage;1060;255;17,7;2,56;19,3;0,4;-;0
Omelette aux lardons;1110;267;12,5;1,46;23,5;0,68;-;0
Omelette aux champignons;520;125;8,09;2,28;9,2;0,7;-;0
Omelette aux fines herbes;612;147;9,5;1,98;11,2;0,8;-;0
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée;686;165;5,56;11,7;9,9;1,22;0,38;0
Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen);764;184;9,82;5,07;13,5;0,81;;0
Protéine de soja texturée, réhydratée;630;150;20,4;7,03;2,9;3,65;0,78;0
Tofu nature, préemballé;617;148;14,7;2,87;8,5;0,57;0,18;0
Tofu fumé, préemballé;685;164;16,4;2,91;9,5;0,85;< 0,1;0
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;662;157;21,3;6,76;3,7;2,57;< 0,1;0
Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé;775;185;19,3;8,19;7;2,07;0,36;0
Seitan, préemballé;566;134;20,6;6,74;2,5;0,81;0,17;0
Lait entier, UHT;272;65,1;3,25;4,85;3,63;4,2;< 0,3;0
Lait entier, pasteurisé;236;56,5;3,23;3,47;3,3;-;< 0,2;0
Lait demi-écrémé, UHT, enrichi en vitamine D seulement;196;46,6;3,31;4,8;1,52;4,5;< 0,2;0
Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines;186;44,1;3,31;4,79;1,25;4,5;0,2;0
Lait, teneur en matière grasse inconnue, UHT (aliment moyen);199;47,3;3,32;4,82;1,59;4,62;0,059;0
Lait demi-écrémé, UHT;198;47;3,31;4,83;1,55;4,66;< 0,1;0
Lait demi-écrémé, pasteurisé;195;46,4;3,13;4,9;1,54;4,81;< 0,1;0
Lait écrémé, UHT;142;33,4;3,44;4,64;0,06;4,64;< 0,1;0
Lait écrémé, pasteurisé;146;34,5;3,21;4,99;0,19;4,93;0;0
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose;187;44,4;3,38;4,69;1,29;4,66;2,4;0
Lait de chèvre, entier, UHT;235;56,1;3,33;4,35;2,83;4,35;-;0
Lait de chèvre, demi-écrémé, UHT;193;45,8;3,69;4,13;1,57;4,13;< 0,2;0
Lait de chèvre, entier, cru;240;57,4;3,15;4,01;3,2;4,01;< 0,2;0
Lait de jument, entier;210;50;2,36;6,18;1,73;-;-;0
Lait de brebis, entier;429;103;5,56;4,5;6,97;4,5;-;0
Lait en poudre, entier;2090;499;26,9;37,5;26,8;37,5;-;0
Lait concentré non sucré, entier;510;122;6,31;9,91;5,9;9,47;< 0,1;0
Lait concentré sucré, entier;1360;323;7,54;55,6;7,87;55,6;0,42;0
Lait en poudre, demi-écrémé;1930;459;30,8;43,4;17,5;43,4;< 0,1;0
Lait en poudre, écrémé;1530;361;34,6;54;0,7;53,1;0,002;0
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei;-;-;2,84;3,64;0,1;3,56;-;0
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;312;73,7;2,92;11,6;1,4;11,3;1,47;0
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei;-;-;2,75;12,7;1,52;12,5;-;0
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D;-;-;3,02;12,6;1,2;12;-;0
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;350;82,8;3,03;13,1;1,69;12,8;-;0
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D;-;-;2,97;13,9;1,5;13,5;-;0
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;-;-;2,7;12,9;1,6;12,9;0,3;0
Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;397;94,4;3,75;11,5;3,1;11,5;0,13;0
Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus;-;-;4,58;6,71;0,094;6,37;-;0
Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;409;97,2;3,5;13;3,01;12,9;0,72;0
Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol;-;-;3,8;6,6;0,5;5,7;-;0
Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus;-;-;4,3;5,75;0,3;5,75;-;0
Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;270;64,5;3,77;3,47;3,6;3,32;< 0,2;0
Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus;-;-;3,73;13,3;2,72;12,6;-;0
Yaourt à la grecque, au lait de brebis;290;69,1;3,76;4,99;3,4;2,6;< 0,2;0
Yaourt à la grecque, sur lit de fruits;-;-;2,27;16,3;6,3;15;-;0
Yaourt au lait de brebis, aromatisé, sucré;394;93,7;4,94;9,33;3,7;8,3;< 0,2;0
Yaourt au lait de brebis, nature, 3% MG environ;-;-;5,6;4,6;3;2,8;-;0
Yaourt au lait de chèvre, nature, 5% MG environ;305;73,4;4,06;1,12;5,2;1,12;< 0,1;0
Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré;-;-;2,89;15,2;3,91;14,6;1,5;0
Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;-;-;4,53;8,25;1,08;6,78;-;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;232;54,5;4,44;8,29;0,06;4,23;0,25;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;375;89,1;3,35;12,2;2,6;12,1;< 0,2;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;-;-;3,02;13,4;5,45;12,4;0,67;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D;-;-;3,36;13,6;1,79;12,9;-;0
Yaourt, lait fermenté ou spécialité laitière, aux céréales;-;-;3,57;11,3;3,43;9,9;0,8;0
Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré;510;122;3,44;14,1;5,1;14;0,35;0
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;165;38,9;4,13;3,72;< 0,3;3,72;0,21;0
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;-;-;4,45;7,45;0,097;6,31;-;0
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;404;95,7;3,54;14,2;2,4;13,6;0,88;0
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;457;109;2,38;14,5;4,28;13,7;0,97;0
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;-;-;3,44;14;2,35;12,7;-;0
Yaourt, lait fermenté ou spécialité laitière, nature;191;45,5;3,88;2,65;1,5;2,65;0,064;0
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG;168;39,4;4,73;4,1;0,064;4,1;0,074;0
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D;-;-;4,5;5;0;4,8;-;0
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D;-;-;4,33;5,4;1,17;5,13;-;0
Yaourt, lait fermenté ou spécialité laitière, nature, à la crème;476;115;3;3,08;9,8;3,08;< 0,2;0
Yaourt, lait fermenté ou spécialité laitière, nature, sucré;356;84,3;3,41;12,5;1,95;12,5;0,13;0
Yaourt ou spécialité laitière nature (aliment moyen);238;56,8;3,8;4,73;2,3;4,67;0,087;0
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen);292;69,4;3,57;7,47;2,5;7,24;0,34;0
Yaourt ou spécialité laitière aux fruits (aliment moyen);392;93,1;3,14;12,8;2,89;12,2;0,82;0
Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée;415;98,3;7,31;11,5;2,29;11,3;1,7;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen);180;42,4;4,2;4,92;0,13;4,01;0,22;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen);392;93,2;3,17;12,9;2,81;12,5;0,57;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen);180;42,4;4,2;4,92;0,13;4,01;0,22;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen);393;93,3;3,18;13;2,83;12,6;0,57;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen);392;93,2;3,18;13;2,83;12,6;0,57;0
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen);376;89,3;3,25;12,4;2,63;12;0,54;0
